Authors,Gender
Marcel Meyer,male
Michael A. Campion,male
Iftekhar Hasan,male
Salim Chahine,male
Markus Schöberl,male
Sophie De Winne,female
Toyah L. Miller,female
Charles Calderwood,male
Danny Miller,male
Jason D. Shaw,male
Wendy R. Boswell,female
Andreas König,male
Tine Buyl,female
Oscar Holmes,male
Marc Gruber,male
Barry Gerhart,male
Christopher C. Rosen,male
Flávia Cavazotte,female
Peter A. Tashman,male
James M. LeBreton,male
Chad H. Van Iddekinge,male
John R. Lauck,male
Paul W. Beamish,male
Rustin D. Meyer,male
Ruodan Shao,female
Kathleen M. Eisenhardt,female
Francisco Brahm,male
Arménio Rego,male
Kathleen Bentein,female
Herman Aguinis,male
Daniel P. Skarlicki,male
Marc van Essen,male
Brian W. Swider,male
Russell E. Johnson,male
Zhijun Chen,male
Felice B. Klein,female
Anthony J. Nyberg,male
Omale A. Garba,male
Hun Whee Lee,male
Patrice Roussel,male
Trevor Watkins,male
Szu-Han (Joanna) Lin,female
Rui Li,male
Yang Ye,male
Kim De Meulenaere,female
Anne S. Miner,female
Christine C. Hwang,female
David Caughlin,male
George C. Banks,male
Mikhail A. Wolfson,male
Justin A. DeSimone,male
Claudia Buengeler,female
R. Edward Freeman,male
Rachel Amrhein,female
Murad A. Mithani,male
Luca Giustiniano,male
Allison S. Gabriel,female
Berrin Erdogan,female
Camilo Valverde,male
Amanda S. Patel,female
Mary B. Mawritz,female
Jing Zhu,female
Thomas W. H. Ng,male
Young Ho Song,male
Tine Köhler,female
Troy A. Smith,male
Robert E. Hoskisson,male
Lauren R. Locklear,female
Jay B. Barney,male
Omar El Nayal,male
Christopher M. Barnes,male
Anne O’Leary Kelly,female
Devasheesh P. Bhave,male
Nicole Gillespie,female
Pengfei Ye,male
Shan Xu,female
Sergiy D. Dmytriyev,male
Michael P. Ciuchta,male
Jorge Tarziján,male
Yan Chen,female
John E. Mathieu,male
Cynthia E. Devers,female
Laurens Bujold Steed,female
Jungkyu Park,male
Wei Shen,male
Dimitrios Georgakakis,male
Valentina Marano,female
T. Russell Crook,male
Long Zhang,male
Deborah E. Rupp,female
Ivan Soraperra,male
Dwarka Chakravarty,male
Mathias Diebig,male
Huihua Zhang,female
Xuanli Xie,female
Gerard George,male
Joseph T. Liu,male
Brian W. McCormick,male
Sarah Tuskey,female
Jonathan O’Brien,male
Sharon K. Parker,female
Robert E. Ployhart,male
Christophe Boone,male
Vangelis Souitaris,male
Andrew A. Hanna,male
Simon J. D. Schillebeeckx,male
Wei Shi,male
Miguel Pina e Cunha,male
Elise Marescaux,female
Karim Mignonac,male
Liuba Y. Belkin,female
Kai C. Bormann,male
Shaul Shalvi,male
Ravi S. Ramani,male
Pankaj C. Patel,male
Arvind Malhotra,male
Gerald F. Davis,male
Lorenz Graf-Vlachy,male
Frederik Anseel,male
David N. Herda,male
Stijn Vanormelingen,male
Ronald F. Piccolo,male
Peder Greve,male
Feng Li,male
Anita M. McGahan,female
Bradley L. Kirkman,male
Edward J. Zajac,male
Nitya Chawla,female
Xiaohui Shi,male
Jose M. Cortina,male
Tufool Alnuaimi,female
Katherine A. Schnure,female
Robert Nason,male
Allison M. Ellis,female
Andrew Sarta,male
Chenwei Liao,male
Jean-Philippe Vergne,male
David J. Ketchen,male
Theodore DeWitt,male
Robert A. Phillips,male
J. Alberto Aragón-Correa,male
Patrick E. Downes,male
Simon Peck,male
Nichelle C. Carpenter,female
David G. Sirmon,male
John D. Arnold,male
Alankrita Pandey,female
In-Sue Oh,male
Jay O’Toole,male
Lieke L. ten Brummelhuis,female
Pierre Chaigneau,male
Christian Vandenberghe,male
C. Justice Tillman,male
Jeremy L. Schoen,male
Ronald S. Burt,male
Jinlian Luo,female
Winfried Ruigrok,male
Cristina B. Gibson,female
Philipp E.M. Mueller,male
J. (Hans) van Oosterhout,male
Guangjian Liu,male
Daniel S. Whitman,male
Shuang Ren,female
Bart de Jong,male
Hermann Achidi Ndofor,male
Miha Sajko,male
Ian Williamson,male
Jonathan P. O’Brien,male
Guylaine Landry,female
Xiaowan Lin,female
Mayowa T. Babalola,male
James J. Lavelle,male
Cody J. Reeves,female
Christina Matz Carnes,female
Derek R. Avery,male
Igor Filatotchev,male
Anne Parmigiani,female
Rui Zhong,female
Jack I. Richter,male
Meredith L. Woehler,female
Isabelle Le Breton-Miller,female
Nathan R. Furr,male
X. Susan Zhu,female
Carol Gill,female
Babatunde Ogunfowora,male
Mike W.-L. Cheung,male
Raymond Loi,male
Talya N. Bauer,female
Dev K. Dalal,male
Dennis Y. Hsu,male
Kristin L. Cullen-Lester,female
Wei Yu,male
William J. Becker,male
Oskar Colombo,male
Rebecca L. Greenbaum,female
Jie Feng,female
Dean A. Shepherd,male
Jennifer Kurkoski,female
Yucheng Zhang,male
Samantha A. Conroy,female
Quinn Webster,male
Ruth V. Aguilera,female
Mike Wright,male
Yimin Lin,male
Laura D’Oria,female
Sandra L. Robinson,female
Ricky W. Griffin,male
Myrtle P. Bell,female
Marcus M. Butts,male
Brian L. Connelly,male
Kaifeng Jiang,male
Pattarin Chumnumpan,female
David J. G. Dwertmann,male
Melissa A. Schilling,female
John Fiset,male
Sejin Keem,female
Joost Rietveld,male
Justin M. Weinhardt,male
Giuseppe Soda,male
Curtis L. Wesley,male
Shaker A. Zahra,male
Rodolphe Durand,male
Patrick F. McKay,male
Katherine A. Frear,female
Nils C. Köbis,male
Florian Kunze,female
Michael C. Campion,male
Henrich R. Greve,male
Caitlin M. Porter,female
Garry D. Bruton,male
Stephen C. Gibson,male
Isabel Villamor,female
